"Time","h","value_mean"
2019-12-31 19:00:00,0,4.77
2019-12-31 20:00:00,1,5.06
2019-12-31 21:00:00,2,4.94
2019-12-31 22:00:00,3,4.77
2019-12-31 23:00:00,4,4.67
2020-01-01 00:00:00,5,4.75
2020-01-01 01:00:00,6,4.95
2020-01-01 02:00:00,7,5.14
2020-01-01 03:00:00,8,5.01
2020-01-01 04:00:00,9,4.79
2020-01-01 05:00:00,10,4.82
2020-01-01 06:00:00,11,4.77
2020-01-01 07:00:00,12,4.68
2020-01-01 08:00:00,13,5.30
2020-01-01 09:00:00,14,5.49
2020-01-07 10:00:00,15,1.06
2020-01-07 11:00:00,16,1.51
2020-01-07 12:00:00,17,2.17
2020-01-07 13:00:00,18,2.70
2020-01-07 14:00:00,19,3.10
2020-01-07 15:00:00,20,3.06
2020-01-22 09:00:00,14,4.53
2020-01-22 10:00:00,15,5.22
2020-01-23 10:00:00,15,3.44
2020-01-23 11:00:00,16,4.36
2020-01-24 07:00:00,12,3.87
2020-01-24 08:00:00,13,3.36
2020-01-24 09:00:00,14,3.38
2020-01-24 10:00:00,15,3.40
2020-01-24 11:00:00,16,3.39
2020-01-24 12:00:00,17,3.87
2020-01-24 13:00:00,18,5.55
2020-01-24 14:00:00,19,5.14
2020-01-25 07:00:00,12,3.58
2020-01-25 08:00:00,13,3.44
2020-01-25 09:00:00,14,3.60
2020-01-25 10:00:00,15,4.74
2020-01-26 07:00:00,12,4.70
2020-01-26 08:00:00,13,4.67
2020-01-26 09:00:00,14,4.35
2020-01-26 10:00:00,15,5.40
2020-01-26 11:00:00,16,5.41
2020-01-26 12:00:00,17,4.99
2020-01-26 13:00:00,18,5.82
2020-01-26 15:00:00,20,5.48
2020-01-27 06:00:00,11,3.18
2020-01-27 07:00:00,12,3.43
2020-01-27 08:00:00,13,2.97
2020-01-27 10:00:00,15,3.38
2020-01-27 11:00:00,16,3.70
2020-01-27 12:00:00,17,4.17
2020-01-27 13:00:00,18,4.64
2020-01-28 07:00:00,12,1.76
2020-01-28 08:00:00,13,1.79
2020-01-28 09:00:00,14,1.68
2020-01-28 10:00:00,15,1.96
2020-01-28 11:00:00,16,1.97
