# theta E H
0.000000000000000000e+00 5.353928429519430665e+01 5.353928429519432086e+01
3.173325912716962877e-02 5.319986493245300352e+01 5.321712764949646868e+01
6.346651825433925753e-02 5.219872611436315424e+01 5.226230014250469935e+01
9.519977738150889324e-02 5.057025505072705585e+01 5.070238750801334504e+01
1.269330365086785151e-01 4.836985400934567991e+01 4.858202382899762739e+01
1.586662956358481369e-01 4.567121192444686528e+01 4.596087432019236019e+01
1.903995547630177865e-01 4.256279805415525175e+01 4.291101592424240607e+01
2.221328138901874083e-01 3.914380118662988650e+01 3.951385564771535996e+01
2.538660730173570301e-01 3.551979463177150365e+01 3.585676792593577034e+01
2.855993321445266520e-01 3.179843366868259125e+01 3.202965647184176134e+01
3.173325912716962738e-01 2.808546852012906214e+01 2.812164067602524398e+01
3.490658503988658956e-01 2.448130016432610034e+01 2.421805218620740163e+01
3.807991095260355729e-01 2.107821113309309169e+01 2.039792307091528301e+01
4.125323686532051948e-01 1.795821383607940191e+01 1.673216405901106185e+01
4.442656277803748166e-01 1.519110848001459679e+01 1.328274467780031465e+01
4.759988869075444384e-01 1.283171337544309232e+01 1.010356485491039003e+01
5.077321460347140603e-01 1.091457864246949327e+01 7.245230808003967127e+00
5.394654051618836821e-01 9.444964183337527075e+00 4.772748480421521222e+00
5.711986642890533039e-01 8.388707605480362872e+00 2.841487125497438981e+00
6.029319234162229257e-01 7.670231724420684571e+00 1.979105543549254165e+00
6.346651825433925476e-01 7.187354676802051756e+00 2.537073585669240572e+00
6.663984416705621694e-01 6.837352271965499995e+00 3.545953463514152304e+00
6.981317007977317912e-01 6.538232187025997177e+00 4.472678418524639099e+00
7.298649599249014130e-01 6.236392200004821973e+00 5.209632113593929859e+00
7.615982190520711459e-01 5.903747301332922248e+00 5.745411163441820790e+00
7.933314781792407677e-01 5.530871035373135847e+00 6.094023580867982126e+00
8.250647373064103896e-01 5.120272277292667873e+00 6.277757629190026556e+00
8.567979964335800114e-01 4.681186073776639311e+00 6.321452209370801434e+00
8.885312555607496332e-01 4.225953480715851640e+00 6.249999178208502926e+00
9.202645146879192550e-01 3.767674883915592687e+00 6.087046906877576546e+00
9.519977738150888769e-01 3.318793374097880999e+00 5.854276316912386591e+00
9.837310329422584987e-01 2.890333682329848664e+00 5.571010690806970977e+00
1.015464292069428121e+00 2.491589389069731375e+00 5.254044856837077226e+00
1.047197551196597853e+00 2.130101934851408529e+00 4.917628726442469400e+00
1.078930810323767364e+00 1.811793989804930227e+00 4.573560280561530078e+00
1.110664069450937097e+00 1.541100982198839731e+00 4.231353886074017190e+00
1.142397328578106608e+00 1.320892712630533872e+00 3.898458189792224360e+00
