# theta	E	H
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.090909090909090606e-01 9.964850771281230646e-01 9.964901210356618133e-01
1.818181818181818121e+00 9.812455150314183250e-01 9.812306148738720868e-01
2.727272727272727071e+00 9.587194876294470314e-01 9.587796634592948841e-01
3.636363636363636243e+00 9.287188332560581960e-01 9.284885185366139604e-01
4.545454545454544970e+00 8.893377737153445040e-01 8.904720934284273692e-01
5.454545454545454142e+00 8.437666324195847167e-01 8.459170350341840283e-01
6.363636363636363313e+00 7.943967543643825069e-01 7.961720069124266219e-01
7.272727272727272485e+00 7.399290884735177931e-01 7.416553398554194265e-01
8.181818181818181657e+00 6.816674437733850622e-01 6.832182393501641249e-01
9.090909090909089940e+00 6.219922494323256723e-01 6.234550698178510375e-01
1.000000000000000000e+01 5.610479760324704745e-01 5.623413251903489618e-01
1.090909090909090828e+01 5.014146506409832282e-01 5.014620327635167518e-01
1.181818181818181834e+01 4.420527593850965276e-01 4.421736645587693304e-01
1.272727272727272663e+01 3.861026094802585407e-01 3.847953535114316814e-01
1.363636363636363669e+01 3.324328855613856715e-01 3.304887421156656457e-01
1.454545454545454497e+01 2.826341960971214817e-01 2.797034100813940438e-01
1.545454545454545325e+01 2.370974264406630339e-01 2.332120813105643675e-01
1.636363636363636331e+01 1.960667045731727676e-01 1.911764982337043617e-01
1.727272727272727337e+01 1.597146480189193807e-01 1.537449001550841854e-01
1.818181818181817988e+01 1.276418975660806587e-01 1.212018457030756835e-01
1.909090909090908994e+01 1.002439571256882739e-01 9.311008645535281958e-02
2.000000000000000000e+01 7.691304402866094847e-02 6.950243175887976799e-02
2.090909090909091006e+01 5.769807743396518362e-02 5.024309302114606662e-02
2.181818181818181657e+01 4.199621002244111750e-02 3.473079456903786083e-02
2.272727272727272663e+01 2.962004890002427338e-02 2.276858779241987957e-02
2.363636363636363669e+01 2.007833428292198075e-02 1.392610801218902017e-02
2.454545454545454319e+01 1.289899800906173580e-02 7.623789387319460965e-03
2.545454545454545325e+01 7.749516284786055545e-03 3.662777313641411760e-03
2.636363636363636331e+01 4.212211681281135232e-03 1.283315199164399966e-03
2.727272727272727337e+01 2.020800482727846958e-03 5.191259633671946663e-04
2.818181818181817988e+01 7.470936649546183837e-04 6.392322605340429020e-04
2.909090909090908994e+01 2.480152098052414069e-04 1.590844811441506114e-03
3.000000000000000000e+01 2.133044913146579465e-04 2.958012466551546409e-03
3.090909090909090651e+01 4.906743924182661474e-04 4.571885767957871265e-03
3.181818181818181657e+01 9.512497892344334892e-04 6.250922449712581312e-03
3.272727272727272663e+01 1.448289095710340651e-03 7.835671238997192478e-03
3.363636363636363313e+01 1.942570597484002395e-03 9.233214367952716911e-03
3.454545454545454675e+01 2.357032411896573497e-03 1.040257885666654239e-02
3.545454545454545325e+01 2.674631878986771620e-03 1.129281083860565055e-02
3.636363636363635976e+01 2.880990375175134822e-03 1.185704392499146650e-02
3.727272727272727337e+01 2.973995081018641993e-03 1.213288849608242306e-02
3.818181818181817988e+01 2.962071635331684979e-03 1.214219712514493475e-02
3.909090909090908639e+01 2.863841931952574790e-03 1.190784596779721760e-02
4.000000000000000000e+01 2.691534803926913955e-03 1.148153621496882971e-02
4.090909090909090651e+01 2.472990689925895491e-03 1.085816549748089103e-02
4.181818181818182012e+01 2.220669632181014770e-03 1.013522674122876652e-02
4.272727272727272663e+01 1.952223698544226695e-03 9.298551808717780628e-03
4.363636363636363313e+01 1.680991858252506342e-03 8.426431182231798947e-03
4.454545454545454675e+01 1.417083124581557281e-03 7.529711312320579684e-03
4.545454545454545325e+01 1.171012175205441222e-03 6.640348582317582952e-03
4.636363636363635976e+01 9.499333855087909329e-04 5.782427520541769984e-03
4.727272727272727337e+01 7.552984676860119385e-04 4.958912017125116645e-03
4.818181818181817988e+01 5.884956839945756826e-04 4.198428123437051955e-03
4.909090909090908639e+01 4.509003463309830531e-04 3.506704626799608121e-03
5.000000000000000000e+01 3.396252725904085534e-04 2.884031503126602888e-03
5.090909090909090651e+01 2.529072065135475511e-04 2.331275323470992887e-03
5.181818181818181301e+01 1.877216393018997628e-04 1.856650523158652087e-03
5.272727272727272663e+01 1.411153076656891561e-04 1.449334690794254954e-03
5.363636363636363313e+01 1.100420159567093708e-04 1.106172612409142596e-03
5.454545454545454675e+01 9.098630926718404564e-05 8.237953067798364478e-04
5.545454545454545325e+01 8.135976617363315530e-05 5.948133032448031004e-04
5.636363636363635976e+01 7.860132134076048042e-05 4.140509698433832912e-04
5.727272727272727337e+01 8.033432934809027026e-05 2.746098580210500290e-04
5.818181818181817988e+01 8.505405335251175569e-05 1.714001410052712262e-04
5.909090909090908639e+01 9.120819562715558619e-05 9.643218615037437217e-05
6.000000000000000000e+01 9.749896377173847576e-05 4.720630412635918916e-05
6.090909090909090651e+01 1.034436101252378404e-04 1.803282113227715972e-05
6.181818181818181301e+01 1.083391811356622088e-04 2.160637556619094242e-06
6.272727272727272663e+01 1.117329167835650049e-04 1.021062272921032494e-06
6.363636363636363313e+01 1.136688689497723087e-04 5.053434597850033781e-06
6.454545454545454675e+01 1.140845954973168229e-04 2.033126263932080965e-05
6.545454545454545325e+01 1.131512596167332234e-04 3.426466168310940273e-05
6.636363636363635976e+01 1.108061871303594895e-04 5.398724994095746728e-05
6.727272727272726627e+01 1.072805020960071893e-04 7.309733552072204040e-05
6.818181818181817277e+01 1.030583816115993235e-04 9.282348824317686103e-05
6.909090909090909349e+01 9.785497783392854915e-05 1.114405271149642975e-04
7.000000000000000000e+01 9.225714271547609579e-05 1.285286659943612900e-04
7.090909090909090651e+01 8.649213584889010485e-05 1.440847444008460569e-04
7.181818181818181301e+01 8.047073095253726095e-05 1.578224549756555742e-04
7.272727272727271952e+01 7.439650004078422133e-05 1.694857998696152387e-04
7.363636363636364024e+01 6.853332754898824723e-05 1.791188653604753635e-04
7.454545454545454675e+01 6.276157771200511039e-05 1.866464988024666447e-04
7.545454545454545325e+01 5.735247099512740318e-05 1.922997581047081834e-04
7.636363636363635976e+01 5.233613642115666733e-05 1.965066309448277346e-04
7.727272727272726627e+01 4.761436559317264671e-05 1.992735316736241004e-04
7.818181818181817277e+01 4.331964030639255290e-05 2.006317586360626044e-04
7.909090909090909349e+01 3.934161289642088618e-05 2.008764948807425924e-04
8.000000000000000000e+01 3.580964371026377168e-05 1.999861869632740786e-04
8.090909090909090651e+01 3.265229554423503200e-05 1.983758742852298896e-04
8.181818181818181301e+01 2.989392413492380788e-05 1.956179012819295757e-04
8.272727272727271952e+01 2.740672509296686489e-05 1.924105988832426487e-04
8.363636363636364024e+01 2.530171243945680175e-05 1.890220548220601204e-04
8.454545454545454675e+01 2.346709661497268601e-05 1.849623280084930564e-04
8.545454545454545325e+01 2.192055128570005328e-05 1.807673306638668922e-04
8.636363636363635976e+01 2.064023325771026509e-05 1.763691647123791304e-04
8.727272727272726627e+01 1.957456070757622427e-05 1.715911608127842765e-04
8.818181818181817277e+01 1.877762240549248133e-05 1.668893930056901463e-04
8.909090909090909349e+01 1.814128343969047502e-05 1.616532204490026589e-04
9.000000000000000000e+01 1.770108958317422095e-05 1.566751070108150041e-04
